,label,thresh,coordinates
275,2,0,"[63, 48, -13, 39, 26, -8, 10]"
276,2,0,"[77, 43, -30, 56, 23, -19, 12]"
277,2,0,"[63, 27, -22, 53, 11, -27, 11]"
278,2,0,"[48, 6, -8, 47, 4, -31, 13]"
279,2,0,"[52, -7, -13, 50, 5, -32, 18]"
280,2,0,"[63, -20, -8, 59, 9, -39, 22]"
281,2,0,"[102, -28, -4, 98, -1, -43, 26]"
282,2,0,"[110, -38, 21, 101, -39, -43, 32]"
283,2,0,"[198, -105, 66, 154, -43, -43, 43]"
284,2,1,"[1148, -784, -784, -299, 35, -43, 28]"
285,0,0,"[170, -15, -59, -159, 9, 23, -3]"
286,0,0,"[120, -14, -62, -102, 3, 3, 1]"
287,0,0,"[56, -19, -38, -37, 2, 0, 3]"
288,0,0,"[59, -15, -24, -52, 0, 1, 3]"
289,0,0,"[98, -9, -34, -92, 3, 8, 1]"
290,0,0,"[109, 3, -45, -99, 3, 8, 0]"
291,3,0,"[110, 5, -46, -100, 2, 0, 0]"
292,3,0,"[81, -8, -40, -70, 1, -1, 0]"
293,3,0,"[82, -9, -38, -72, 0, -2, 0]"
294,3,0,"[89, -12, -39, -79, 0, 1, 0]"
295,3,0,"[92, -11, -38, -83, 2, 2, 0]"
296,3,0,"[93, -12, -44, -81, 1, 0, 0]"
297,3,0,"[87, -11, -38, -77, 0, 0, 0]"
298,3,0,"[87, -11, -37, -78, 0, 0, 0]"
299,3,0,"[90, -11, -39, -80, 0, 0, 0]"
300,3,0,"[90, -12, -40, -80, 0, 0, 0]"
301,3,0,"[88, -11, -36, -79, 1, 0, 0]"
302,3,0,"[90, -14, -41, -79, 1, 1, -1]"
303,3,0,"[87, -11, -40, -76, 1, 1, 0]"
304,3,0,"[97, -8, -51, -82, 0, 1, 0]"
305,3,0,"[91, -9, -42, -80, -1, 0, 0]"
306,3,0,"[87, -6, -38, -78, 0, 0, 0]"
307,3,0,"[90, -10, -43, -78, 0, 0, 0]"
308,3,0,"[90, -12, -42, -79, 0, 1, 0]"
309,3,0,"[89, -9, -41, -79, 0, 1, 0]"
310,3,0,"[90, -9, -45, -78, 0, 0, 0]"
311,3,0,"[90, -8, -41, -80, 0, 1, 0]"
312,3,0,"[89, -9, -37, -80, 0, 1, 0]"
313,3,0,"[91, -16, -41, -80, -1, 2, 1]"
314,3,0,"[87, -22, -23, -81, 0, 5, 5]"
315,3,0,"[88, -5, -18, -86, 6, 7, 7]"
316,3,0,"[84, 2, -29, -79, 11, 3, 5]"
317,3,0,"[87, -10, -47, -73, 12, 0, 4]"
318,3,0,"[88, -9, -46, -75, 13, 2, 4]"
319,3,0,"[86, -5, -46, -72, 14, 2, 3]"
320,3,0,"[96, -8, -55, -78, 16, 1, 2]"
321,3,0,"[102, -14, -59, -82, 15, 1, 0]"
322,3,0,"[100, -18, -55, -82, 18, 4, -1]"
323,3,0,"[110, -15, -67, -86, 22, 7, 0]"
324,3,0,"[134, -17, -97, -91, 17, 9, -2]"
325,3,0,"[121, -10, -92, -78, 18, 9, -9]"
326,3,0,"[116, -6, -94, -67, 28, 8, -13]"
327,3,0,"[113, -7, -92, -65, 39, 8, -15]"
328,3,0,"[110, -3, -98, -50, 43, 9, -17]"
329,3,0,"[86, 8, -83, -22, 43, 10, -12]"
330,3,0,"[88, 17, -86, -6, 43, 11, -6]"
331,3,0,"[96, 32, -91, 0, 43, 10, -6]"
332,3,0,"[113, 34, -108, -7, 38, 7, -8]"
333,3,0,"[110, 34, -105, 0, 20, 10, -7]"
334,3,0,"[105, 35, -98, 12, 20, 11, -4]"
335,3,0,"[129, 31, -119, 39, 32, 10, -3]"
336,3,0,"[140, 25, -126, 56, 43, 6, -8]"
337,3,0,"[145, 15, -116, 86, 43, 5, -9]"
338,3,0,"[189, 21, -92, 164, 43, 1, -5]"
339,3,0,"[279, 10, -119, 252, 39, -20, -6]"
340,3,0,"[338, -14, -51, 334, 14, -43, -9]"
341,3,1,"[373, -23, 37, 370, 11, -43, 5]"
342,0,0,"[123, 68, -98, 29, -2, -7, 2]"
343,0,0,"[118, 80, -86, 11, 0, 6, -1]"
344,0,0,"[105, 58, -85, 20, 1, -1, -5]"
345,0,0,"[96, 45, -82, 23, 0, 2, -5]"
346,0,0,"[99, 52, -81, 23, 0, 0, -3]"
347,0,0,"[99, 54, -79, 27, 0, 1, -1]"
348,0,0,"[101, 53, -80, 30, 0, 0, -1]"
349,0,0,"[104, 52, -85, 30, 0, 0, -1]"
350,0,0,"[99, 52, -80, 25, 0, 0, -1]"
351,0,0,"[101, 53, -82, 26, 0, 1, 0]"
352,2,0,"[101, 57, -80, 24, -1, 1, 0]"
353,2,0,"[104, 60, -80, 30, 0, 0, 0]"
354,2,0,"[102, 60, -80, 22, 0, 1, 0]"
355,2,0,"[106, 59, -84, 25, 0, 0, 0]"
356,2,0,"[96, 57, -75, 18, -1, 0, 0]"
357,2,0,"[99, 60, -74, 26, 0, 0, 0]"
358,2,0,"[104, 56, -84, 25, 0, 0, 0]"
359,2,0,"[105, 54, -87, 23, 0, 0, 0]"
360,2,0,"[104, 58, -82, 26, 0, 0, 0]"
361,2,0,"[100, 57, -78, 25, 0, 0, 0]"
362,2,0,"[99, 55, -78, 25, 0, 0, 0]"
363,2,0,"[103, 56, -83, 26, 0, 0, 0]"
364,2,0,"[102, 55, -83, 24, 0, 0, 0]"
365,2,0,"[100, 55, -80, 25, 0, 0, 0]"
366,2,0,"[99, 58, -77, 24, 0, 0, 0]"
367,2,0,"[102, 55, -82, 25, 0, 0, 0]"
368,2,0,"[104, 57, -83, 25, 0, 0, 0]"
369,2,0,"[100, 56, -79, 25, 0, 0, 0]"
370,2,0,"[101, 56, -80, 25, 0, 0, 0]"
371,2,0,"[103, 56, -82, 26, 0, 0, 0]"
372,2,0,"[101, 56, -80, 26, 0, 0, 0]"
373,2,0,"[100, 56, -79, 23, 0, 0, 0]"
374,2,0,"[102, 57, -80, 26, 0, 0, 0]"
375,2,0,"[103, 58, -81, 27, 0, 0, 0]"
376,2,0,"[101, 58, -79, 25, 1, 0, 0]"
377,2,0,"[100, 57, -79, 23, 1, 0, 0]"
378,2,0,"[99, 56, -78, 23, 1, 0, 0]"
379,2,0,"[99, 55, -80, 21, 2, 0, 0]"
380,2,0,"[101, 55, -83, 19, 3, -1, -2]"
381,2,0,"[107, 59, -89, 6, 5, -6, -7]"
382,2,0,"[106, 44, -91, -31, 14, -10, -12]"
383,2,0,"[154, 16, -141, -60, -20, 6, -15]"
384,2,0,"[147, 50, -128, 52, -43, 36, -10]"
385,2,0,"[132, 88, -91, 36, -43, 11, -2]"
386,2,0,"[146, 55, -131, 35, -43, 5, 0]"
387,2,0,"[160, 73, -138, 37, -43, 7, 2]"
388,2,0,"[93, 70, -23, 57, -43, 7, 4]"
