,label,thresh,coordinates
216,0,0,"['90', '32', '-46', '-71', '0', '0', '0']"
217,0,0,"['93', '32', '-48', '-73', '0', '0', '0']"
218,0,0,"['91', '29', '-47', '-72', '0', '0', '0']"
219,0,0,"['91', '28', '-47', '-73', '0', '0', '0']"
220,0,0,"['91', '31', '-45', '-73', '0', '0', '0']"
221,0,0,"['90', '31', '-45', '-72', '0', '0', '0']"
222,0,0,"['92', '30', '-47', '-73', '0', '0', '0']"
223,0,0,"['91', '31', '-47', '-72', '0', '0', '0']"
224,0,0,"['92', '29', '-47', '-73', '0', '0', '0']"
225,0,0,"['91', '27', '-47', '-73', '0', '0', '-1']"
226,0,0,"['91', '28', '-46', '-73', '0', '1', '-2']"
227,0,0,"['95', '26', '-54', '-74', '0', '3', '-3']"
228,0,0,"['105', '19', '-62', '-83', '-4', '6', '-8']"
229,0,0,"['103', '7', '-76', '-69', '0', '4', '-14']"
230,0,0,"['120', '-11', '-88', '-81', '-2', '-5', '-13']"
231,0,0,"['139', '-5', '-101', '-96', '-1', '1', '-13']"
232,0,0,"['108', '5', '-73', '-80', '0', '5', '-18']"
233,0,0,"['93', '15', '-60', '-69', '4', '3', '-20']"
234,0,0,"['80', '17', '-57', '-54', '12', '0', '-20']"
235,0,0,"['68', '23', '-51', '-39', '19', '-6', '-22']"
236,0,0,"['61', '23', '-49', '-28', '17', '-11', '-26']"
237,0,0,"['56', '27', '-36', '-33', '10', '-17', '-30']"
238,0,0,"['52', '33', '-17', '-37', '6', '-23', '-31']"
239,0,0,"['49', '27', '-10', '-40', '7', '-26', '-28']"
240,0,0,"['60', '36', '-6', '-47', '7', '-25', '-24']"
241,0,0,"['65', '36', '-9', '-53', '10', '-29', '-20']"
242,0,0,"['70', '30', '-10', '-63', '9', '-30', '-17']"
243,0,0,"['85', '29', '-1', '-80', '3', '-28', '-13']"
244,0,0,"['98', '34', '15', '-91', '0', '-25', '-8']"
245,0,0,"['98', '15', '0', '-97', '0', '-21', '-3']"
246,0,0,"['99', '26', '2', '-96', '-3', '-19', '1']"
247,0,0,"['112', '14', '-7', '-111', '-3', '-21', '3']"
248,0,0,"['120', '5', '-19', '-118', '-6', '-20', '5']"
249,0,0,"['122', '-4', '-14', '-121', '-6', '-15', '7']"
250,0,0,"['118', '-2', '-12', '-117', '-4', '-12', '10']"
251,0,0,"['112', '-4', '-23', '-110', '-1', '-12', '12']"
252,0,0,"['111', '-6', '-32', '-106', '-2', '-11', '12']"
253,0,0,"['111', '-17', '-33', '-105', '-4', '-9', '9']"
254,0,0,"['107', '-18', '-31', '-101', '-4', '-5', '5']"
255,0,0,"['97', '-16', '-27', '-92', '-1', '-3', '2']"
256,0,0,"['96', '-18', '-31', '-89', '0', '-1', '2']"
257,0,0,"['94', '-18', '-33', '-86', '-3', '0', '1']"
258,0,0,"['88', '-18', '-28', '-82', '-5', '0', '1']"
259,0,0,"['85', '-19', '-18', '-81', '-3', '-1', '2']"
260,0,0,"['87', '-21', '-28', '-80', '-2', '-3', '2']"
261,0,0,"['94', '-23', '-32', '-85', '-3', '-4', '1']"
262,0,0,"['98', '-20', '-33', '-90', '-4', '-2', '0']"
263,0,0,"['98', '-21', '-28', '-92', '-4', '-2', '0']"
264,0,0,"['100', '-19', '-28', '-94', '-5', '-1', '0']"
265,0,0,"['102', '-21', '-25', '-97', '-4', '-1', '0']"
266,0,0,"['97', '-19', '-22', '-93', '-2', '0', '0']"
267,0,0,"['96', '-21', '-25', '-90', '-2', '-1', '-1']"
268,0,0,"['105', '-21', '-30', '-98', '-6', '-2', '-2']"
269,0,0,"['120', '-27', '-29', '-113', '-8', '-3', '-2']"
270,0,0,"['143', '-31', '-33', '-136', '-6', '0', '-5']"
271,0,0,"['149', '-38', '-31', '-141', '-2', '3', '-9']"
272,0,0,"['155', '-36', '-31', '-148', '-2', '7', '-9']"
273,0,0,"['159', '-20', '-27', '-155', '-2', '4', '-7']"
274,0,0,"['177', '-28', '-15', '-174', '-1', '5', '-7']"
275,0,0,"['217', '-45', '-19', '-211', '0', '18', '-10']"
276,0,0,"['213', '-46', '0', '-208', '-1', '28', '-7']"
277,0,0,"['204', '-60', '-9', '-195', '4', '40', '-5']"
278,0,0,"['167', '-69', '-19', '-151', '4', '43', '-6']"
279,4,1,"['1337', '-757', '-784', '-774', '43', '-43', '-43']"
280,0,0,"['88', '17', '19', '-84', '0', '12', '-3']"
281,0,0,"['79', '12', '14', '-77', '1', '7', '-1']"
282,0,0,"['77', '15', '13', '-74', '0', '1', '0']"
283,0,0,"['79', '18', '11', '-76', '1', '0', '0']"
284,0,0,"['79', '8', '9', '-78', '3', '0', '0']"
285,0,0,"['84', '6', '5', '-84', '3', '1', '1']"
286,0,0,"['87', '7', '3', '-87', '1', '0', '1']"
287,0,0,"['92', '8', '0', '-92', '0', '-2', '1']"
288,0,0,"['93', '7', '0', '-93', '-1', '-3', '0']"
289,0,0,"['93', '9', '2', '-93', '-2', '0', '0']"
290,0,0,"['92', '13', '6', '-91', '-3', '2', '0']"
291,0,0,"['91', '13', '6', '-90', '-2', '1', '0']"
292,0,0,"['92', '13', '5', '-91', '0', '0', '0']"
293,0,0,"['91', '12', '4', '-90', '1', '-1', '0']"
294,0,0,"['89', '10', '3', '-88', '0', '0', '0']"
295,0,0,"['86', '13', '5', '-85', '-1', '2', '0']"
296,0,0,"['88', '13', '4', '-87', '-2', '2', '0']"
297,0,0,"['88', '14', '4', '-87', '-1', '0', '0']"
298,0,0,"['89', '14', '3', '-88', '0', '-1', '0']"
299,0,0,"['92', '14', '4', '-91', '0', '0', '0']"
300,0,0,"['90', '13', '6', '-89', '0', '1', '0']"
